syndrome_dec,syndrome_hex,syndrome_bin,flip_mask_bin,weight,indices
33969,0x84B1,1000010010110001,000000000000000000000000000000000011010000000000,3,10;12;13
34231,0x85B7,1000010110110111,000000000000000000000000000000000000000001011000,3,3;4;6
35057,0x88F1,1000100011110001,000000000000000000000110000000000000000000000000,2,25;26
35737,0x8B99,1000101110011001,000000000000000000000000000000000001101000000000,3,9;11;12
35883,0x8C2B,1000110000101011,000000000000000000000000011000000000000000000000,2,21;22
36058,0x8CDA,1000110011011010,000000000000000000000000000011010000000000000000,3,16;18;19
36110,0x8D0E,1000110100001110,000000000000000000000000000000000000011110000000,4,7;8;9;10
36327,0x8DE7,1000110111100111,000000000000000000000000000010010000000000000000,2,16;19
36466,0x8E72,1000111001110010,000000000000000000000000000000001100000000000000,2,14;15
36585,0x8EE9,1000111011101001,000000000000000000000000000110100000000000000000,3,17;19;20
36656,0x8F30,1000111100110000,000000000000000000000001101000000000000000000000,3,21;23;24
36664,0x8F38,1000111100111000,000000000000000000000000000000000000101100000000,3,8;9;11
36760,0x8F98,1000111110011000,000000000000000000000000000000000110000000000000,2,13;14
36820,0x8FD4,1000111111010100,000000000000000000000000000111100000000000000000,4,17;18;19;20
36864,0x9000,1001000000000000,100100000000000000000000000000000000000000000000,2,44;47
37464,0x9258,1001001001011000,000000000000000000000000000000000001010000000000,2,10;12
37816,0x93B8,1001001110111000,000000000000000000000000000000000000000000110100,3,2;4;5
38367,0x95DF,1001010111011111,000000000000000000000011000000000000000000000000,2,24;25
38377,0x95E9,1001010111101001,000000000000000000000000000000000000000000011000,2,3;4
38445,0x962D,1001011000101101,000000000000000000101000000000000000000000000000,2,27;29
38596,0x96C4,1001011011000100,000000000000000000000010110000000000000000000000,3,22;23;25
38649,0x96F9,1001011011111001,000000000000000000000000000000000000010100000000,2,8;10
38653,0x96FD,1001011011111101,000000000000000000000000001110000000000000000000,3,19;20;21
38848,0x97C0,1001011111000000,000000000000000000000000001111000000000000000000,4,18;19;20;21
38954,0x982A,1001100000101010,000000000000000000000000111100000000000000000000,4,20;21;22;23
39067,0x989B,1001100010011011,000000000000000000000000000000001110000000000000,3,13;14;15
39281,0x9971,1001100101110001,000000000000000000000000000000000100000000000000,1,14
39444,0x9A14,1001101000010100,000000000000000000000000000000000000000000011110,4,1;2;3;4
40014,0x9C4E,1001110001001110,000000000000000100100000000000000000000000000000,2,29;32
40015,0x9C4F,1001110001001111,000000000000000000100000000000000000000000000000,1,29
40893,0x9FBD,1001111110111101,000000000000000000001011000000000000000000000000,3,24;25;27
40960,0xA000,1010000000000000,101000000000000000000000000000000000000000000000,2,45;47
40970,0xA00A,1010000000001010,000000000000000000000000000000110100000000000000,3,14;16;17
41284,0xA144,1010000101000100,000000000000000000000001001000000000000000000000,2,21;24
41567,0xA25F,1010001001011111,000000000000000000000000111000000000000000000000,3,21;22;23
42285,0xA52D,1010010100101101,000000000000000000000000000000000000001001000000,2,6;9
42366,0xA57E,1010010101111110,000000000000000000000000000000000000000000010110,3,1;2;4
42480,0xA5F0,1010010111110000,000000000000001101000000000000000000000000000000,3,30;32;33
42481,0xA5F1,1010010111110001,000000000000001001000000000000000000000000000000,2,30;33
42482,0xA5F2,1010010111110010,000000000000000101000000000000000000000000000000,2,30;32
42483,0xA5F3,1010010111110011,000000000000000001000000000000000000000000000000,1,30
42572,0xA64C,1010011001001100,000000000000000000011010000000000000000000000000,3,25;27;28
42629,0xA685,1010011010000101,000000000000000000000110100000000000000000000000,3,23;25;26
42907,0xA79B,1010011110011011,000000000000000000000000000000000101100000000000,3,11;12;14
43116,0xA86C,1010100001101100,000000000000000000000000000000000000000100100000,2,5;8
43651,0xAA83,1010101010000011,000000000000000000000000000000000000000000010000,1,4
44078,0xAC2E,1010110000101110,000000000000000000010010000000000000000000000000,2,25;28
44168,0xAC88,1010110010001000,000000000000000000000000001010000000000000000000,2,19;21
44210,0xACB2,1010110010110010,000000000000000000000000000000000000110000000000,2,10;11
44242,0xACD2,1010110011010010,000000000000000000000000000000000000000000111100,4,2;3;4;5
44469,0xADB5,1010110110110101,000000000000000000000000001011000000000000000000,3,18;19;21
44676,0xAE84,1010111010000100,000000000000000000000000000000000000000010000000,1,7
44945,0xAF91,1010111110010001,000000000000000001001000000000000000000000000000,2,27;30
45056,0xB000,1011000000000000,101100000000000000000000000000000000000000000000,3,44;45;47
45426,0xB172,1011000101110010,000000000000000000000000000000000111100000000000,4,11;12;13;14
45810,0xB2F2,1011001011110010,000000000000000000111100000000000000000000000000,4,26;27;28;29
46236,0xB49C,1011010010011100,000000000000000000000000000010100000000000000000,2,17;19
46451,0xB573,1011010101110011,000000000000000000000000000000000000001000000000,1,9
46497,0xB5A1,1011010110100001,000000000000000000000000000011100000000000000000,3,17;18;19
46686,0xB65E,1011011001011110,000000000000000000000000011100000000000000000000,3,20;21;22
46857,0xB709,1011011100001001,000000000000000000000000000000111100000000000000,4,14;15;16;17
47154,0xB832,1011100000110010,000000000000000000000000000000000000000101100000,3,5;6;8
47248,0xB890,1011100010010000,000000000000000000110100000000000000000000000000,3,26;28;29
47280,0xB8B0,1011100010110000,000000000000000000000010010000000000000000000000,2,22;25
47707,0xBA5B,1011101001011011,000000000000000000000000000000000010110000000000,3,10;11;13
47837,0xBADD,1011101011011101,000000000000000000000000000000000000000001010000,2,4;6
48005,0xBB85,1011101110000101,000000000000000011110000000000000000000000000000,4,28;29;30;31
48043,0xBBAB,1011101110101011,000000000000000000000011100000000000000000000000,3,23;24;25
48858,0xBEDA,1011111011011010,000000000000000000000000000000000000000011000000,2,6;7
49152,0xC000,1100000000000000,110000000000000000000000000000000000000000000000,2,46;47
49210,0xC03A,1100000000111010,000000000000000000000000000010110000000000000000,3,16;17;19
